label,tweet;;
"senang,""[USERNAME] Tahan..tgg sbntr. Berhenti sejenak atau melangkah mundur gpp ko. Dr situ bs liat lg semua yg ada. See, its not tht bad. Msh bnyk yg bs dilakukan, msh bnyk peluang, msh bnyk yg bs bikin km bahagia. All u need is stop n step back a bit, then u can run & jump high""";;
senang,[USERNAME] youre not aloneee wkwkwk;;
senang,[USERNAME] [USERNAME] Interstellar paling recommended sih. The Martian tntang astronot yg bertahan hidup di mars sendirian. Kalo mau yg ada romancenya bisa nonton The Space Between Us;;
"marah,""asdfghjkklq02fkg03!?&gt";"SLFest[s03. Udah hampir jadi, malah not responding. Tit.""";
marah,Buat yang nungguin after credit kedua nya Capt Marvel mening gausaaaaa not worth ur time;;
senang,Sa lu kan jutek ma orang baru....You know me so well berarti lah yahhhhh.... ..Yaaa hahahahaaaaaaa... Jutek ma jaga jarak emang beda tipis tebal...;;
senang,[USERNAME] Not biased tp disini dia keren + cantik banget gila;;
"marah,""[USERNAME] Iyaaa aku k sana acara kampus gt kan, (curcol ni) dia nanya apk di email perlu tulisin detil harga, trus gue jwb, kl baru undangan gausa, kl uda lanjut baru masukin..eh dia bilang """"answer with what i want, oke or not oke""""..jd doi kyk membatasi gt, kayak ga terima perkembangan gt""";;
"marah,""Masih ada aje orang dagang gak ngasih tau harga...""""DM for price"""" like, WTF, do you want my money or not?? [URL]""";;
"marah,""[USERNAME] So what, setting di bagian yang Reff dijamin kaget ..Not today sama Fire juga""";;
"marah,""bullsit ajg not as easy as what you think bitch, karena apa?duit bisa segalanya bosQue,""";;
"marah,""Budayakan membaca DETAIL sebelum chat yaaa as written on my BIO aku tuh exclude. Dan please,i'm not a bloody tradisonal market. So no nawar nawar""";;
"senang,""Tapi iya juga sih sebenernya. U don't hv to say sorry. U're not that wrong. Itu guenya aja yg emang lagi moody-an mungkin, jd gampang cranky..Hehe but I appreciate kok.""";;
"sedih,""percayalah bukan gue yg ngerubah elu. One day you will find the right one, thats not me.""";;
"marah,""[USERNAME] Case per case basis ya non. Karena gue gak terlalu attach dgn keluarga, dengan senang hati malah. Tapi mungkin faktor kerja, bisa dilihat dulu, ngga mungkin downgrade dong. Kalau dia anak sultan, why not? Bisa rintis usaha, apalagi era 4.0, usaha udah gak landed base.""";;
"sedih,""""""History is not the study of the past, it's the study of the change."""" Andai saja pelajaran di sekolah dibikin se-menarik ini, pasti lebih seru [URL]""";;
sedih,Pgn deh ngerestart kuliah tp maunya dari smt 2 bcs smt 1 msh maba and maba lyfe was suck;;
"sedih,""Akan ada masanya, when u have pets.. Nama u dipanggil buat kucing. Nama kucing buat manggil u.. .Yup, Mamak eyke..""";;
senang,yeay! stay true to their root MMLD... ..ni kalo ada yg ngedije disambungin sama Lipstick-nya Oracara kena bat nih. ..[URL];;
marah,When u have friends kerjaannya ngeduluin u ngomong mulu..Cc: Samsolese [URL];;
senang,[USERNAME] Not bad.. Start from 15k. Enaakk kok.. Gih gih cobain kalo dekat.. Hahaha;;
"senang,""Down nya jangan lama2 sedih nya jangan lama2. Tuhan gasuka ..Gue bangkit kok, harga benda msh bisa dicari tapi nyawa engga. .Puji Tuhan masih diberi keselamatan semua nya tanpa luka sedikitpun""";;
"marah,""Kayaknya dia selalu muter-muter tentang law case is not that easy. Pokoknya dia semua lah yang paham, orang lain mah goblok. [URL]""";;
"senang,""Satu figurenya 70k. Jangan kaget. This is not something you see everyday in toys fair. Ada bajaj, 300k, kap atas bisa dibuka, dalemnya lengkap tempat duduk, kopling, stir etc. Skala masih 1/87. Edann.""";;
"takut,""[USERNAME] Mm not sure, ada area di lantai atas tapi gak sempet nanya kalo ada non-smoking huhu""";;
"sedih,""[USERNAME] [USERNAME] Kalau program gini imho ya pak ngak efektif banget meskipun maksudnya bagus. Karena di sekolah dan kampus pun ada pesantren dan pembelajaran Islam lebih dalam di bulan Ramadhan. Daripada libur 1 bulan, why not fix the education system biar lebih bagus dan syariah ?""";;
"sedih,""Logic ngeluarin album mulu, makin kesini bkn krn doi seneng bikin musiknya ego cm buat kewajiban doang. His last 2 albums was not pretty good""";;
senang,Moto g5s+ not bad juga kameranya [URL];;
"takut,""[USERNAME] am not sure so. ttg percaya atau ga percaya kalo udah begini, kalau pake logika sederhana biasa sih ya gabisa begitu. kalau keluarga gua ngandelin penghasilan bapak gua aja dengan keadaan anaknya ada 4 dan rese2 ini yaaa gimana ya.""";;
"cinta,""Jika dia cukup bodoh melepasmu, maka kamu harus cukup pintar melupakannya. Life must go on, not to be oon  #cinta #ikhlas #bodoh #pintar""";;
"takut,""hari ini ijin ga masuk kantor karena sakit, tapi karena emg lg hectic di kantor jadinya tetep aja kerja..terus w mikir.. lebih enak kerja remote gini sih, kayaknya w lelah sama kantornya, bukan kerjaannya. tapi lelah sama cara kerjanya kantor juga deng....resign or not to resign""";;
senang,[USERNAME] ini adenya lg ikutan challenge try not to dance:) [USERNAME] [USERNAME];;
"takut,""""""Public transit is too expensive, we are not Jakarta"""" ..Persepsi ini jangan sampai muncul di daerah lain, karena angkutan umum bukan cuma MRT [URL]""";;
"senang,""[USERNAME] Kalo kamu nyamannya kek gitu sih ya gapapa nder, thats not a weird thing kok""";;
"takut,""kadang ingin mencari peluang lain, tp disisi lain belum bisa ninggalin keadaan saat ini karena emang udah setengah jalan. feeling like i'm not able to compete in looking for another chance.. bcs i still need more experiences here.""";;
"marah,""This is real world, not fairytale bedtime. Karena jatuh cinta itu udah sepaket sama sakit hati. Kalo lo jatuh cinta tanpa ngerasain sakit hati, itu BULLSHIT.""";;
"sedih,""[USERNAME] I tried to cheer my self up, but it's not working, tapi aku ga mau berhenti supaya aku bisa bangkit dari keterpurukan :)) dan 1 lagi selalu berdoa :)""";;
"sedih,""[USERNAME] been there done that, mantan gw di 'unboxing' sama jok sepeda BMX nya""";;
takut,[USERNAME] Biasa lah kemaren abis pemilu gitu di kampus trs katanya ada kecurangan. But idk hows the real;;
"takut,""O M G , say BIG NO! [URL]""";;
"marah,""When u udah semangat ke sekolah, trs di jalan ketemu doi goncengan sama temen lu sendiri tuh rasanya.......ARGH!""";;
marah,Di DM sama yang ganteng langsung di bales..Di DM sama yang biasa aja cuma di read doang..Di DM sama akun After minta kirim pic;;
"senang,""byknya generasi milenial yng menyukai jkowi coz pemerintah an jkw mendkg industri creatif, Milenial ndukung jkw demi endonesia lbih baik. #01indonesiamaju #JokowiLagi #jokowi2periode #2019tetapjokowi #2019pilihjokowi #KyaiCerdasBerpengalaman #KyaiUmaro [URL]""";;
"sedih,""Well.. baru aja tengok trending, ternyata Instagram down bersamaan dengan Facebook & Whatsapp""";;
"cinta,""Not cuma ada 12 tapi bisa bikin berjuta2 melodi. sama kayak kita, cuma ada dua, tapi bikin dunia jd warna-warni  Teens_abel""";;
"sedih,""Kepengen nyanding,nanging koe not responding [URL]""";;
"marah,""[USERNAME] Minta maaf for what? Karna ud apus nomor dia? Itu kan hak kamu buat apus or not. Yash, kangen selalu ada tp sebaiknya untuk saat ini pendem aja, kalo suatu saat hbungan km sm cowo tsb ud baikan sperti temenan normal barudeh becandain bilang """"w kangen lo tau""""""";;
"marah,""Jangan nikah karena udah """"umurnya""""..Ok, terus mau kekeh nunggu sampe ada yang sesuai kriteria dan bersedia? well, good luck.""";;
"senang,""isinya cukup menarik, ada cerita-cerita, foto, bahkan dokumen (headline berita) pada waktu itu...disclaimer: this is not a right-wing .nor a nazi propaganda [URL]""";;
"marah,""[USERNAME] [USERNAME] Ane #OrangBandungAsli, sampai kapanpun #GakSetuju Mega Proyek #KeretaCepatINDONESIACHINA, karena Hanya Akan #SuburkanHegemoniTIONGKOK yg tentunya #BerDampakNegatif.  Believe it or Not !  [URL]""";;
sedih,Disaat lagi butuh-butuhnya..Hes not here;;
"takut,""[USERNAME] iyaa lancar masuk situ sil, pas cek examnya lagi ttp not found gitu. Ntahlah huhu""";;
marah,[USERNAME] gue kayanya ngomong diakhir2 dah 'so its not what i think ur saying then?' kalo nggak tinggal jawab nggak gituloh. gue ngomong satu hal tbtb lo bales bejibun dan tbtb ada aja yg out of context;;
"marah,""Oke, jadi sodara sodara..NEVER SHARE YOUR OWN PROBLEM on socmed bikoooossss.Selain SOCMED IS NOT YOUR DIARY, NOBODY WILL TRULY CARE ABOUT YOUR PROBLEM..Asal tau aja, kalo ada yang nanya """"lo kenapa, cerita sama gw"""" contains: 85% keKEPOan yang HQQ, 15% nyari bahan givvvaaah gicuuu""";;
marah,[USERNAME]  [USERNAME] [USERNAME] Coba belajar utk menghormati Pemerintah sendiri mas. Jgn cuma bs menunjukan watak jelek diri sendiri. Not good utk seorg yg sdh dewasa. Pemerintah sendiri kok dikatain. Ckck #AprilLanjutKerja;;
marah,Sebelum nya cek resi 6 hari lalu ..  hasil nya on process...  dan hari ini saya cek ulang keterangannya malah NOT FOUND.  INI GIMANA YA [USERNAME] soalna barang belom sampai ..  customer nya udh ngeluh ajaaa ke saya!!!! [URL];;
"senang,""ketika dilingkungan kantor ada yang pake jaket exterminator , i know , i'm not alone :)""";;
"marah,""Ya, gue pernah berpikiran seperti itu. Dan percayalah guys, nope, having a partner is not helping your own deep personal crisis. Lo sendiri yang harus deal with your own emotion. Kenapa? Karena cuma diri lo yang cukup baik untuk kesehatan jiwa lo.""";;
"senang,""#MotivasiBijak #Motivasi .#motivation #Motivated.Which brings suffering is not a problem in itself, but our reaction when facing it ...Yang membawa penderitaan bukanlah masalah itu sendiri, melainkan Reaksi kita saat menghadapinya.. [URL]""";;
marah,[USERNAME] [USERNAME] I was so triggered. I tried my best to calm down. I fought hard not to say anything. TAPI MAKE UP 30K SEBULAN YA MENDING KERJA AJA GAK USAH KAWIN KL YG TERSEDIA LAKI MODEL BEGINI.;;
marah,gw dah bilang jauh2 hari .. 02 kalau mau menang dah masuk ke stage decision ..ini kenapa naikkan tagar #INAelectionObserverSOS ya ? ..lihat .. justru 01 yang masuk ke stage decision .. why not Prabowo .. ..kalian gak mau dengar .. mereka yg manfaatkan .. [URL];;
marah,[USERNAME] Udh gk ada gorengan lg bos [USERNAME] ...;;
senang,Lol top comments naver vid jima malah lee dongwook semua + soohan;;
marah,Kalo selfi suka nya metik bunga kebun orang. Not etis sama sekali;;
"marah,""Eh ya udah ada sampah senator Australia manasin kompor benci sama Muslim. Zaman gw di sana ada Pauline Hanson. Ngemengnya dulu blm benci Muslim. Benci org ASIA! """"They should now be allowed here. We were here first."""" diketawain Aborigine""";;
"marah,""[USERNAME] [USERNAME] [USERNAME]  bagus nya di bubar kan aja,,, acara gda faedah nya,, isi nya cuma gontok2 an gk jls,, apalagi td mlm,, pak tua banyk ngelantur ngomong nya.""";;
senang,[USERNAME] Ente tim bulat apa datar win?? Hqhquahaha;;
senang,#Repost [USERNAME] (get_repost)..ALAKAZAM TOUR MERAH PUTIH GUDANG GARAM 2005.Thx to Relic Management yg telah editing kumpulan Video Tour Merah Putih Gudang Garam 2005.Alakazam... [URL];;
"takut,""[USERNAME] Get well soon..Cuaca nggak nentu, harus pinter2 jaga kesehatan vien""";;
"cinta,""Not cuma ada 12 tapi bisa bikin berjuta2 melodi. sama kayak kita, cuma ada dua, tapi bikin dunia jd warna-warni  Teens_adel""";;
senang,#terimakasihbalimemorabia balimemorabilia ya..jersey nya keren;;
"sedih,""[USERNAME] nder, heyy kuattt yukkk. dikasih luka skrg itu, berarti allah ngasih space buat kamu untuk mencintai diri kamu sendiri, perbaikin diri kamu. karna aku yakin, apa yg direncanain skrg sm tuhan itu pasti ada alesannya. its ok not to be ok! dm ku terbuka kalau mau curhat, smngt!""";;
"senang,""Ketika lw kelar makan, ngeliat temen lw masih makan & nyisain kulit ayam dipinggiran piring, dgn rasa peka' doi pun nyuruh lw ngabisin sembari curhat klo doi gak suka kulit ayam. Gass terooss beruntungnya hamba  [URL]""";;
marah,[USERNAME] Yang mau ngatain atta yok yok Louder guys!!! you not alone!!;;
senang,Jangan lupa terus bersyukur pada Tuhan...;;
"senang,""Baru ngeh ada web series dari Blued yg berjudul Bianglala ini. Kemana aje. ..Not too bad kok. Plenty room for improvement, tp mayan untuk mengobati kerinduan web series ttg dunia LGBT di indonesia. Always love Sunny Soon yg sipit gemesin itu..[URL]""";;
"sedih,""Belom di save, not responding, force close, pas dibuka ga recovered. Sedih akutuh [URL]""";;
"sedih,""/ : baru bikin dua headplot. semuanya angst. Ok siap...Rae, gak usah bahagia-bahagia. Not your style.""";;
sedih,EVER HAS IT BEEN THAT LOVE KNOWS NOT ITS OWN DEPTH UNTIL THE HOUR OF SEPARATION  KAHLIL GIBRAN (Cinta tidak akan pernah diketahui kedalamannya sampai (merasakan) jam-jam perpisahan);;
"cinta,""[USERNAME] Gimana mau ga sayang hoseok, kalo aku nangis, kesel sama dunia dan ngerasa ga guna .Langsung nyari video try not to laugh hoseok vers atau engga nonton video yang hoseok main suling pake hidung lagu titanic terus diedit.Itu manjur banget buat bikin ketawa lagi, thanks hosiki""";;
"cinta,""Dulu, setiap mau tdr/ketiduran, pasti muncul notif favorit good night, see u when i see u""";;
"takut,""Please Do Some Magic, God..Saat ini Ibu saya dirawat dan Hb 7.9. Beliau butuh 750 cc golongan O+. Anak2 dan suami semua golongan Darah B+. Jika berkenan, saya tunggu di RS Fatmawati. Hanya butuh 3 pendonor golongan darah O+ domisili Jakarta Selatan untuk mempersingkat waktu""";;
sedih,[USERNAME] I'm not ok.. gak dapet GA iKON dr ko [USERNAME];;
marah,[USERNAME] Emang gak bisa lancar diputar di Samsung Smart TV ya? Aplikasinya auto shut down mulu!..[USERNAME] Is it not applicable for Samsung Smart TV? Your app keeps auto shut down.;;
"marah,""nemu caption orang posting kamera film nya..""""buy film not pixel"""".nah lo abis kelar foto didevelope terus di scan jadi nya apa? pixel goblog""";;
senang,Jangan lupa terus bersyukur pada Tuhan...;;
"senang,""[USERNAME] IU through the night, sama ostnya I'm not robot. Sumpah itu lagunya ngena banget parah.""";;
"takut,""Seperti udah gak nyaman dan percaya aja sama dunia percintaan. Temen kantor curhat aja udah gak ada feel buat jawab dan kasih solusi. Yaelah mba, you tell me the wrong story,  I'm a philophobic and never meet someone who had the same feeling (not yet).""";;
"marah,""Tahun lalu, i recommend one of my client to put their ads on MRT (station or the train itself). Tak ada yg percaya, not even my boss. Dan liat siapa skrg yg udh pasang billboard segede gaban di station MRT. Masa trial MRT, orang foto2 dgn latar belakang pilar itu. Ck""";;
"marah,""[USERNAME] [USERNAME] || nih saya muncul, coba kenalannya sama yg ini. Gampang akrab tapi jangan harap sikap yg manis dan cute gitu ya because I can not  [URL]""";;
marah,[USERNAME] [USERNAME] NOT EVEN JESUS CAN SAVE YOU KENAPA SIH;;
"marah,""Kalau ditanya: emang ga cape jadi gay terus? .Laah balikin aja: emang ga bosen maen ama memek mulu? Sama aja dong..Other questions: mau nikah sama cewe ga nantinya? .Well, kalau ku menemukan seorang cewe yg bener2 one of a kind and she's the one, why not? .Jodoh ngga ada yg tau""";;
"senang,""2. Irsyad itu nyenenginnya dia nurut kalo dikasih tau, terima terima aja. Idk he will do it or not. He respect me as his older brother.""";;
"marah,""DO OR DO NOT.....Ko kesannya maksa banget yaa..ya iya memang, dalam dunia public speaking BERANI itu adalah KOENTJI, ambil kesempatannya ambil risikonya karena kita ga akan pernah tau... [URL]""";;
takut,[USERNAME] aku wkwk cmn kalo dibiasain emg bahaya jd suka mikir yaudah lha gaada org yg sempurna selama kurangnya masi bisa ditolerir i try to not ilfil;;
"marah,""[USERNAME] [USERNAME] Yang pidioin yang di cari, yang beberkan bukti yang di cari. We do not believe!""";;
"takut,""Heran sama Sarah. Giliran ngetweet feel free to unfollow, eh malah dia baru follback""";;
senang,Haiii iyoooh long time no c [USERNAME] what r u doing rn ?;;
marah,kesel itu when u uda ngantuk mau tidur tp tbtb laper;;
sedih,Kudianggap gak becus krn salah mengarahkan. Well..;;
"takut,""Lieur aing beberapa hari ini susah ngecharge kalo ada tulisan ini, anyone yg tau gak how to fix this problem? *nb : hp gue asus zenfone max pro m1 [URL]""";;
takut,Eaa ke impulsif an aku kambuh tbtb mau nonton captain marvel lagi;;
marah,[USERNAME] [USERNAME] Muke gile ente pak kyai...dl ane respect ame ente....semenjak ente masuk politik omongan ente banyak yg ngawur..ente paham isi quran n hadist tp ente ngga paham apa itu politik..istighfar lah sebelum ajal menjemput..coz we are love u as KYAI not POLITICUS.#INAelectionObserverSOS;;
marah,Doi Prof loh....dan MUI bisa dapat laba ya salah satunya dari keahlian dia di ekonomi rakyat. ..not saying thinga doesn't mean he doesn't have it. [URL];;
"senang,""Akhirnya bisa juga bikin not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia [URL]""";;
"senang,""Five feet apart itu kocak dan agak ngeselin. Sama sempet bikin mata berkaca2 juga di bbrp scene. Soundtrack nya enak bgt bgt btw. Overall, film nya bagus dan nonton nya hepi krn dpt diskon wkwk ..CUZ IM NOT GIVIN' UP, IM NOT GIVIN' UP, GIVIN' UP, NO NOT YET ...""";;
"senang,""[USERNAME] Ah, emang mesti luangkan waktu buat kemari lagi sambil cuti, gak buat kerjaan haha. Well noted and masuk To-do List! [URL]""";;
senang,TIX ID ini semacam nomat a.k.a nonton hemat is back but in digital way. Kmrn cuma top up 50rb buat nonton pas di Solo kepake cuma 28rb. Td iseng liat jadwal film Us dan ternyata saldo masih cukup. Lgsg sikatlah.;;
marah,NOT RECOMMENDED PAKAI FIRSTMEDIA. GANGGUAN MULU WKWKWK. Kalo lagi connect sih jaringannya sat set sat set. tp gangguan seminggu bisa 3kali cuyyy. manaan lamaa 12jam lebih. giliran bayar telat sehari denda 5rb. lo bayangin tuh waktu gue yg gak bisa pake jaringan grgr gangguan.;;
"marah,""Bila student cakap ikat perut, masalah duit bayar bilik end up berkongsi 10 orang 1 rumah ni, acknowledged lah issue ni. Not shoving your thoughts duit ptptn beli iPhone, makan mewah sana sini. They're out there and needed help.""";;
"marah,""Ada selebgram (actually not really sure about she's a celeb or not, but isi feed penuh ngiklan baju)..dia pamer di IG story video, lagi buru-buru, nyetir lewat jalur busway, sementara kelihatan di jalur biasa lagi pada antri macet...Sadar ga ya kalo otaknya ketinggalan?""";;
"sedih,""[USERNAME] Iya, nih. Mukanya not impressed [URL]""";;
"senang,""Subhanallah. A real (hu)man, a real muslim. Able to forgive, not to hate back. Something that we all.must learn: forgivenes... ..Suami Korban Teroris Selandia Baru Maafkan Pembunuh Istrinya [URL]""";;
"marah,""[URL] hukum... not fair,.. bisa kah hal ini di sebut dengan kezaliman? wallahu a'lam bishawab... ..#DoakanPrabowoSandi [URL]""";;
"marah,""Tulisan yg sangat memalukan (lagi). .1. Kewajiban manusia adalah melindungi sesama manusi.  Siapapun dia.  .2. Respect is earned not given or even forced.  .Tanpa diminta atau dipaksa,  anda akan dihormati orang lain juka memang anda pantas dihormati. [URL]""";;
"senang,""[USERNAME] Ini wajah islam sesungguhnya. Aku bangga  We are not taught to keep hatred, we are not taught to take vengeance.""";;
"marah,""Anjirlah ini data udah gua cut dari 19 juta ++ point, jadi cuma 6 juta dan gua bagi jadi per 1 juta,.Masih aja not responding CAD""";;
"marah,""[USERNAME] Buat first time visitor buat gw, harusnya disediain disclaimer, not suitable for toddlers and the elderlies, secara panas banget dan tentunya tempat duduk terbatas, kasian kmrn liat mereka. Pakai sunscreen juga perlu""";;
senang,It is not a mountain we conquer but ourselves  Edmund Hillary..Pic by  ikkafatma17 ..Terimakasih sudah join #tripbromo  bersama [USERNAME] ..Tag [USERNAME] dan gunakan... [URL];;
"sedih,""[USERNAME] """"Lho sejak kapan sakit? Yaah vampirnya gagal keren deh. Nava juga tepar udah 3 hari ini, tapi nggak sampe dirawat kaya kakak. Get well soon kaak!""""""";;
"sedih,""[USERNAME] All is well Pin, cerita aja semua yang mau diceritain... insyAllah jadi renungan buat yg baca juga..Ngomongin esensi hidup dan merenungin semua hal, kayanya lumrah bgt gak sih diumur2 kita skrg ini? Hug""";;
marah,Pengangguran kek w can't relate bbsgddd;;
marah,Subhanallahh.. Signal telkomsel bikin gemesssss... Tiap mlm pasti ngadat  Yoo weslah tak tinggal turu wae  Good Night all;;
marah,Gara-gara mas Ali info promo ovo cash back aku jd jajan mulu ini.;;
