text,emotion
Terlalu seksi bu..... Takut ada yg kepanasan........,takut
"W dlu waktu awal kenal sosmed malah bela2in fpi,sejenis kadrun2nan, radikal bebas.. sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi.",marah
takut dihujat w,takut
"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge.",senang
Mbaknya terpesona karo kecantikanmu mbak enjiii,terkejut
ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe,terkejut
selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci...gw jelas tyda muda lagi udah mo menuju 40 thn -c-,terkejut
Jijik eeeuyyhh,jijik
Terus pas ada yang rasis tersinggung. Padahal mereka nya juga sok menjauh gitu kadang. Heran,marah
Murka sa bandungeun dibawa jigana coks. Saminggu Gandul datang eta sunter langsung banjir..Hhaha,marah
"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair.",terkejut
"ngeri banget itu disampingnya sungai, suka was was kalau main ke sungai tiba tiba longsor mampus dah",takut
"Nga ah, tkut kecewa aku wkwkwk",sedih
"Tapi tidak dengan yg bermoral,dan membawa nama agama,dan jarang terjadi,tidak yg suka klaim surga,dan horam haram tapi melakukannya juga,untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya,bikin muak,.",jijik
"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuek* aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* ya begitulah kurang lebih contohnya.",marah
(BELVYAAAA!!!!! KENAPA LO SARANKAN BELIAU HAHHH?!?!!?!!!!!!!!! GW MURKA),marah
Foya foya dulu kalo udah puas baru nikah,senang
HHhhaha aku pun terkejut,terkejut
Kamu SOpan Aku Senang,senang
"Selamat pagi. Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran.",terkejut
Yakaaannnn cempreng2nya kedengeran huhuhu takut man dimarahin nayah hahahahahah,takut
Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran,marah
"Syukur Doakan i pulak after this,aamiin",senang
"Yah kecewa, btw makasih udah respon!",sedih
Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yg buruk2 tentang si mba'nya... Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway...,senang
Kecewa mehong,sedih
"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga",senang
"Wajahnya sedikit merah padam. Ia menahan marahnya. Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini. Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya. Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan.",senang
"Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari)",senang
"Udh muak bgt sama kalimat itu ewwwhhh. Bego aja si yg masi ngandelin tu kalimat wkwk. Kayak, liat aja itu twice, rv comeback lebih dr sekali setahun lagunya ngeboom aja kok, makin dikenal pula di Korea. Emg si waijing ni ganiat aja ngurus gg.",jijik
Yg saya heran diTV anak2 papua tdk nampak ya?? Yg sering muncul anak2 yawa sampe aceh sana... Mgkin anak2 papua tggl jauh2... Yaaa,terkejut
sambal matahnya tidak pernah bikin kecewa Buk.,sedih
"kangan terkejut, pemerintah sudah lama konyol, dewan perwakilan pun demikian.. coba merenung, terpilih saja kan mereka beli suara kita.. mentalitas itu yg kita pilih",marah
"Ga cinta, ga benci, dan ga peduli",marah
Asal Jan ikan tahu aja lah muak gue liatnya,jijik
Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind. Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yg akan sengsara seiring berkurangnya hasil ikan tangkapan.,sedih
"Fiks, siapa pun kalian hati2 kalo kemana2. Gue cuma takut orang ini jahat sebenernya. Apalagi tatapannya bikin risih. Be safe, guys!",takut
"Mo tidur nangis, bangun nangis juga. Heran deh, ga capek apa.",terkejut
Njirr kek brita duka,sedih
"Hai Kak, maaf banget nih bikin kamu cemas. Coba infoin nomor pesanan yang bermasalah tersebut ke DM yuk Kak biar mimin bantu cek. Ditunggu DM nya ^SA",takut
Boro2 ama atlet ama coach aja udah gugup wkwkwk,takut
Anet ayam berkokok pagi buta ni sumpah terkejut. Bunyi lain mcm sejak musim covid ni,terkejut
Dia dah penat orang reply semua macam tak puas hati. Pastu dia reply apa yang dah dicopy paste,senang
Duh jd ngeri wkwkw,takut
HAHAHSJDKDKD TERKEJUT WOI,terkejut
ISHH JIJIK KALI AKU .g,jijik
"Orang boleh bangga dengan web bagus biaya mahal ,tapi poinya ,seberapa banyakah produk kita terjual",marah
Heran sama orang yg bisa baca hati orang lain. Nasehat boleh. Hakimi jangan.,terkejut
"""Mungkin aku tidak diperhitungkan. Tapi aku senang bersama dengan orang yang sangat bersemangat."" (Happy)",senang
pernah marah sm wlm...oh iya ofc gw jg prnh murka tp blm sempat gw ngomel2 eh bias gw udah pada hangout aja sm yeop wkwkwk jd yg kek hadeh gw udah mo marah2 bias gw digituin eh anaknya dah maen aja sm ceo nya yah ngabis2in waktu sm tenaga gw aja donk marah2 hahaha,marah
Berteman dengan 2 kepribadian sekaligus??? Kok bisa ajg? Heran !? Otak tanpa akhlak !!!,terkejut
"Utk harapan kpd treasure, smoga ini jadi awalan yg baik n diterima lokal dan tentunya internasional. Yg pasti gw pribadi sangat terkejut dan respect kpd treasure ini pdhl blm resmi debut lo h tapi prestasi nya udh luar biasa",terkejut
Kalo pun ada guenya malah risih. Malah nanti pasti ada masanya chat udah ga jadi prioritas yang penting sama2 tau tanggungjawab masing2 sama hubungan sih.,takut
"soalnya aku suka ngigo kak, takut aja nanti tau-tau nyanyi michogane wkwk. pernah tau aku ngigo ""asahi ganteng banget"" adekku yang denger gitu kan",terkejut
"Susah banget ya jadi orng terkenal, takut bet if someday im being famous. Semua aib ku di masa lalu dibahas dan dikupas tuntas. My random thoughts dipagi ini",takut
TMI: Hibernasi 18 jam Puas banget hahahah. Jarang-jarang tidur lama. Tapi ada rasa nyeselnya juga sih liburan isinya cuma tidur doang,senang
Tertipu aku selama ni.rupanya covid 19 ni makhluk halus.,jijik
Saya murka,marah
"Risih2 jijik, gimana gituuu wkwk",jijik
Soto ngomong Karo wong gagal move on. Ngeyel.....kegedean benci... Kayaknya kurang kopi dan kurang belajar cinta,marah
Saya Heran. Anggota DPR RI DIAM saja Rakyat Sengsara. Ntar klo Rakyat MATEK smua. Klian sapa yg GAJI?.,terkejut
Jijik sendiri gua liatnya,jijik
"Dorong LBP pimpin penjemputan warga RI di wuhan, ngeri ngeri sedap",takut
"Bibirku geter sendiri, aneh, semacam gugup",takut
Selang beberapa menit ada nomor baru nelpon. Aku angkat aja takutnya ada urusan penting Awal aku angkat si penelpon langsung gugup gitu,takut
"maklum,,,,grogi nya gugup nya 1/2 metong wkwkwk",takut
Hahahahahahaha bikin gugup gak tuh mbak mbaknya hahahhaha,takut
Sumpa aneh banget. Terakhir kali liat jin sampe terpesona w0w gitu 2013 jaman no more dream asli,terkejut
Ingat senang ke nak wfh? Possibility untuk tertidur &amp; kena maki dengan boss esoknya memang tinggi kakaka,takut
Bucin tapi aku senang~~,senang
"Dkaruniai akal dan pikiran tolong tingkahnya djaga, heran bets sama warga yg bgni Ditegur, Pasutri Belanja Pakai Hazmat Sempat Ngeyel Bilang Begini",terkejut
"Gotong royong aja semua rakyat, jangan nonton dagelan lagi cuma bikin muak doang! Rakyat butuh Sembako dan kesehatan bukan DARURAT SIPIL!!!",jijik
"Gue nonton ini berasa hidupnya ikutan sengsara juga, berat nder... Tapi gue kelarin sampe akhir",sedih
"Kalau terlepas, dan semangat tu sembunyi makin dalam. Berhenti lah sekejap, tarik nafas, berehat, kalau rasa nak nangis, nangislah selagi airmata kita mampu mengalir, dan bila rasa penat tu dah hilang. Teruskan lah mencari semangat tu. Jangan mengalah.",senang
Tergantung mood si klo kata aku aku kadang risih cowo yg bls cepet2 tp giliran dia ngilang trs lama bls aku suka kesel jg knp yyyh aku,marah
iyanih jijik dahh,jijik
"7. agak risih sih , cuma ya klu emg ngeluh gtu paling ngasih semangat aja.",senang
Untill tomorrow itu artinya (sampe besok) gua ngeri banget yang ikutan umurnya ampe besok karena omongan adalah doa...,takut
"gmn mau cari topik noon, saya gugup duluan -_-",takut
"Ya sudahlah, terima sj lh putusannya,biar lutfi dn keluarga tenang dan bisa beraktifitas kembali. Intinyakan kita semua sdh faham apa yg terjadi. Biarlah sang maha adil kelak yg memberinya keadilan. Berharap pada manusia, pasti kecewa. Smga dukungan kpda lutfi bs dlm bentuk lain.",sedih
"-Sampe dirumah- Me : *cerita ke mama* Mama : ""Bilang lah ke papa gih, paling dek ayu dimarahin"" Me : *cemas* Me : ""Paaaa..."" Papa : ""Yaaa..??"" Me : hehehe *ketawa dulu biar rilex"" Papa : ""???"" Me : ""Mobil baret bagian pintu kiri, ga sengaja nyerempet dinding pas mau belok""",takut
See bic . Boleh punye untuk tidak semput dan kecewa,sedih
Takutt wkwk,takut
Iyaaa wkwkw itu yg bikin kita tertipu,jijik
terkejut aku. Babi betul lah,terkejut
Gajian kudu nunggu tanggal 1 bae heran guamah dah -_-,terkejut
Wkwkwk twt murka dgn kao mungkin wkwkwk,marah
"terlalu semangat gasabar pingin bikin kamutu kesal lagi eaa.. tapi stock masik sekilo, uda aman dari begal sualnya.. jajaja",senang
"wkwk itu ga tepat sih tapi artinya ya sama aja kalo ku panggilin tukang santet juga SMA ini, gaya banget mau duit banyak tapi kelakuan kayak gitu cil(acilaman/tante wkwk), muka kamu mau ditaroh dimana sih dasar goblok sangkal itu=kesal wkwkwk",senang
"Nggak usah berharap, karena akan buat kecewa, memang begitulah keadaan negeri kita saat ini",sedih
"Smoker ""Jangan tertipu oleh penampilan luar saja.",jijik
"OP yang hadir ke terpesona dengan vokalnya Seokjin, dengan rambutnya yang disisir ke belakang dan memakai silk blouse",terkejut
Di DM yah...tapi kamu jangan jijik ya. Biasa aja ekspresi ny,jijik
Muka Pete wentz macam muka hantu* Saya benci Pete*,marah
Penat Penyesal Kecewa Gagal,sedih
pernah dipeluk tapi kok malah risih,jijik
"Ada seorang senior engineer Twitter bernama John, yang mudah tersinggung Namun Herman asyik maki John, kantoi lettew",marah
"Percuma kalian ngejelekin satu sama lain di depan saya, buat apa sih? Toh nggak bakal terpengaruh, bakalan aku pantau sambil ngeteh nggak perlu lah sampe bilang ini itu, risih dengernya.",marah
Dokter Tirta Siapa sebenarnya beliau? Ayo... Semoga Allah Selamatkan kita dari berburuksangka ataupun tertipu.,jijik
PACAR SAYA BANYAK. CEWEK SEMUA! PUAS?,senang
"tah la sab, macam macam dugaan, penat",jijik
terpesona sih sbnernya ea,terkejut
"Yang bikin kesal, tak kira abis bimbingan dibuka, ternyata tidak",marah
Kudune tuhan e yo mbok benci jg,marah
"judge seseorang sekasar apapun.judge seseorang sebenci apapun.if ure feeling said ""still loving"" akan diterima sih ya logicnya wlaupun sedikit gengsi or jaim.kebukti semuanya?atau ga ya?oke kita tunggu moment jijik ini WKwkwkwkwkwkwkwkwkwk",jijik
Ken2 gwh sih saran aja ye ko lebih senang negara RI dijajah asing &amp; aseng apa lebih suka damai??? Mendingan gak mancing2 amarah sesama anak bangsa Kecuali kalian emang suka banget dijajah,marah
"Yash. Tiap ketrigger, demonnya bangun. Rasa ga berharga dan ga layak dicintainya bikin jijik sama diri sendiri. Tapi pasti bisa berdamai sama semua ini.",jijik
Benda ni la yg paling takut,takut
"Insyallah....mampu dan hrs buang rasa benci,amarah apapun itu",marah
yaallah gua ngetawain ini kenceng bgt sampe mak gua murka trs nyuruh nonton dikebon aja,marah
ngapain pake muak suami aku maksutnya.,jijik
"Dia kn duta dpr di medsos... Nth apa dlu yg merasuki pemilih dia. Jijik x pun. Suka pake alhamdulillah, insya allah tpi... Au ah gelap.",jijik
"2 akun demen caper wkwk Gak usah terlalu percaya, takutnya malah bikin kecewa, fokus nabung aja toh kalo emang beneran bighit juga ngasih info kok",marah
makanya.. akupun heran. mimpi makan bareng doooongg,terkejut
"Jadi yaa~ aku coba untuk berubah buat ko gakk kesal lagi sama sifatku dan semuanya, dan itu untuk semuanya juga kok. Aku tau sifatku itu bangsat, kurang ajar dan sejenisnya. Aku akui itu memang benar kok.",sedih
Sebenernya mamaku risih gak sih hampir tiap hari aku pelukin gitu?,takut
"need to go to the gym ASAP, gue udah mulai sedih gajelas. Gym udah kayak obat penenang buat gue, prioritas utamanya sekarang bukan untuk bikin badan bagus tapi mencari kebahagian. Serius, gue lagi cardio aja bisa ketawa karna kesenangan. Mungkin karna kelebihan hormon endorfin",sedih
"iseng kok,ya nyantai aja kalau ada yang mau syukur ngga ya coba lagi haha",senang
Heran wkwk,terkejut
Penat badan tk hilang lg,sedih
"lisa ni pas jadi mentor terus ngoreksi trainees serem amat bangsat, aku ngeri. mukanya datar, gatau salah apa ngga.",takut
"Udh bermasalah kok masih bangga, dasar tidak punya malu....",jijik
"Kirekire 2bln lalu, orgtua manten dtg beli baju sekolah untuk anaknya. Teruuuus saya gugup saat menjualnya, gugup rindu sama anaknya hhh",sedih
tapii aku tidakk islammphobia kaya org openminded lainnyaaa (mrsa bangga),senang
Kalo sengsara gegara ga bisa nyolong jgn curhat Mulu ... Ngenes,sedih
"udh kali mba. org dibilang jg tweet iseng jaman kecil, masih diseriusin aja. chill dikit napa deh heran",terkejut
sama gue heran banget.,terkejut
"Penat woiiiiiii hidupppppp camnii,",jijik
Syukur deh buruan....,takut
"Aku suka sate madura pake bgt, Tapi suka juga kuah bakso Tapi bucin martabak telor Tergila gila sama nasi kuning Dan setiap pagi minum kopi sampeee muak :'((",takut
Semuanya duka ga ada suka,sedih
"Aku yg pribumi dukung pakde Jokowi juga makin enak skrg, lebih baik hidup ku karena setiap tahun ada peningkatan kehidupan. Elu doang yg sengsara lalu bandingin sama cina sgala.. Makanya bersyukur sama Tuhan spy hidup lebih nikmat",senang
"Seriusan ini mah ga usah drama, heran masih ada aja org yg ga suka sama heenim tuh knp gt",terkejut
"Oke stop bahas soal cinta2an, muak aing. Back to reality. Temen gua dulu juga ada yang pernah nyinyirin pekerjaan ojol. ""ganteng ganteng ntar eh taunya jadi ojol doang HAHAHAH"" ""bapak bapak ojolnya tadi rese banget dah anjir, gua kasih bintang 1 aja""",marah
pagi lagi dah menitik air mata tengok hi bye mama ni weh. kisah hantu dia semua sedih,sedih
aku bangga kenalan ama bundarita yg soleh .. Amin,senang
Jijik bgt ada yg gambar beginian,jijik
"Nah terus sampai dirumah aku membagikan ceritaku lewat instagram story. Yaa seperti biasa, apapun yang menambah rasa syukur dan energi positif selalu aku bagikan ceritanya",senang
makan hati la penat baru habis shift 11 tadi nasib manager aku bagi balik awal.. fuh kecut jari lemah lutut aku sejam cuci pinggan kotoq,sedih
Bikin Senang.,senang
"Terakhir dpt tip kek gitu, malam tahun baru, dan itu mba nya ga berani Pulang depan rumah Takut ketauan suami, jadi di Gang sebelah sambil terburu""takut di Marah in gara gara malam tahun baruan ama temenya wwkwkw",senang
Maybe orang yang snap tu terkejut or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu.,terkejut
BARU BANGET MINGGU KEMARIN !!! Adek gw minta beliin LKS kimia di Gramedia butuh besok baru bilang jam 20.40. Gimana gw kaga murka apa dikira nyarinya gampang. Eh pas sampe gramed bukannya nanya ama karyawannya malah bengong !!! Rasanya pengen tak pukulin di gramed,marah
Iya atau jijik ini?,jijik
"Nah ini, kgak pernah ditembak cowo kali ya makanya nggak tau klo dating itu pasti sama2 mau. Tak da otak, kesal",marah
MALU MALU IN BANGET HIDUP LO JIR,jijik
but the first video terkejut sia no pls bye,terkejut
babi terkejut aku,terkejut
Emg ya manusia terlalu banyak expect giliran ga kesampean kecewa minta ampun,jijik
Gue pernah ngomong begini dan satu mobil berisi tante-tante langsung murka,marah
Biar tmn2 bingung harus ketawa apa sedih,sedih
"Aamiin Yaa Rabbal'aalamiin Tiada hari tanpa pagi , tiada kebahagiaan di pagi hari , jika tanpa senyum darimu akhy Dan bersyukur lah dgn mengucap syukur kepada Ilahi Assalamu'alaikum sahabatku Salam Jumat Berkah",senang
muak gw HAHAHAHA,jijik
Kemaren selasa aja gw kebandara Soetta.. anakqu sama aq bilang lah ko cina melulu.. Ngeri juga dari Cina bawa virus.. Itu tgl 28 loh.. Seharusnya skarang distop lah dilarang jangan ke Indonesia,takut
"Udh bener pemerintah banned tiktok di indo.. Ngeri kali konten""nya tuh loh..",takut
"So abg apologize sgt kalau abg kurang berinteraksi. Jarang ada DM that can truly capture my interest. Bukan poyo or sombong, abg dah tua dik, penat nak layan satu-satu. Ditambah pula dgn sejarah abg yg selalu kena tipu dgn harapan palsu, abg mmg ada reserved sikit.",senang
"Kelakuan org sok tau. Pdhal front liners lg kekurangan APD. Ini hanya demi belanja doang di supermarket, pake APD lengkap. Sedih skl.",sedih
"Iya kalo 3 mata ntar jadi dajal, hi ngeri,,,, [memakan kwaci]],, meminum air panas langung dari jazirah arab",takut
Aku benci kamuu,marah
